movie	Aladdin: The Return of Jafar	composer	Randy Petersen	voice actor	Gilbert Gottfried
movie	Aladdin: The Return of Jafar	composer	Randy Petersen	voice actor	Joanathan Freeman
movie	Aladdin: The Return of Jafar	composer	Kevin Quinn	voice actor	Robin Williams
movie	Aladdin: The Return of Jafar	composer	Kevin Quinn	voice actor	Brad Kane
movie	Aladdin: The Return of Jafar	composer	Kevin Quinn	voice actor	Merwin Foard
movie	Aladdin: The Return of Jafar	composer	Kevin Quinn	voice actor	Jerry Orbach
movie	Aladdin: The Return of Jafar	composer	Kevin Quinn	voice actor	null
movie	Aladdin: The Return of Jafar	composer	Kevin Quinn	voice actor	Gilbert Gottfried
movie	Aladdin: The Return of Jafar	composer	Kevin Quinn	voice actor	Joanathan Freeman
movie	Aladdin: The Return of Jafar	composer	Dale Gonyea	voice actor	Liz Callaway
movie	Aladdin: The Return of Jafar	composer	Dale Gonyea	voice actor	Dan Castellaneta
movie	Aladdin: The Return of Jafar	composer	Dale Gonyea	voice actor	Brad Kane
movie	Aladdin and the King of Thieves	composer	Randy Petersen	voice actor	Robin Williams
movie	Aladdin and the King of Thieves	composer	Randy Petersen	voice actor	Brad Kane
movie	Aladdin and the King of Thieves	composer	Randy Petersen	voice actor	Merwin Foard
movie	Aladdin and the King of Thieves	composer	Randy Petersen	voice actor	Jerry Orbach
movie	Aladdin and the King of Thieves	composer	Randy Petersen	voice actor	null
movie	Aladdin and the King of Thieves	composer	Randy Petersen	voice actor	Gilbert Gottfried
movie	Aladdin and the King of Thieves	composer	Randy Petersen	voice actor	Joanathan Freeman
movie	Aladdin and the King of Thieves	composer	Kevin Quinn	voice actor	Robin Williams
movie	Aladdin and the King of Thieves	composer	Kevin Quinn	voice actor	Brad Kane
movie	Aladdin and the King of Thieves	composer	Kevin Quinn	voice actor	Merwin Foard
movie	Aladdin and the King of Thieves	composer	Kevin Quinn	voice actor	Jerry Orbach
movie	Aladdin and the King of Thieves	composer	Kevin Quinn	voice actor	null
movie	Aladdin and the King of Thieves	composer	Kevin Quinn	voice actor	Gilbert Gottfried
movie	Aladdin and the King of Thieves	composer	Kevin Quinn	voice actor	Joanathan Freeman
movie	Aladdin and the King of Thieves	composer	David Friedman	voice actor	Brad Kane
movie	Aladdin and the King of Thieves	composer	David Friedman	voice actor	Liz Callaway
movie	Aladdin and the King of Thieves	composer	David Friedman	voice actor	null
movie	Aladdin and the King of Thieves	composer	Randy Petersen	voice actor	Robin Williams
movie	Aladdin and the King of Thieves	composer	Randy Petersen	voice actor	Brad Kane
movie	Aladdin and the King of Thieves	composer	Randy Petersen	voice actor	Merwin Foard
movie	Aladdin and the King of Thieves	composer	Randy Petersen	voice actor	Jerry Orbach
movie	Aladdin and the King of Thieves	composer	Randy Petersen	voice actor	null
movie	Aladdin and the King of Thieves	composer	Randy Petersen	voice actor	Gilbert Gottfried
